ID,EID, Last, First, YearBirth, SpouseYearBirth, BaseSalary, GrossSalary (first line ignored,no spaces,no lines at end of file)
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
2,99,Test,First,1982,1984,80000,90000
3,98,Testy,Second,1985,1988,90000,100000
1,100,Davis,Essen,1977,1980,85000,99000
